gene_id	expr_jan	expr_gte	expr_tcgan	satisf_jan	satisf_gte	satisf_tcgan	curr_sel	member_code
24104	3.051	4.333	10.236	1	0	1	0	1
24105	2.969	2.29	9.027	1	0	1	0	1
24106	8.38	3.575	10.926	1	0	1	0	1
24107	5.876	2.208	9.951	1	0	1	0	1
24108	3.937	1.617	6.874	1	1	1	1	1
24109	4.549	2.646	8.998	1	0	1	0	1
24110	3.283	3.473	9.2	1	0	1	0	1
24111	3.871	3.448	9.009	1	0	1	0	1
24112	8.006	6.219	11.876	1	0	1	0	1
24113	1.496	3.426	8.519	0	0	1	0	1
24114	10.416	5.56	11.206	1	0	1	0	1
24115	2.582	1.91	7.948	1	0	1	0	1
24116	6.153	2.39	3.116	1	0	0	0	6
24117	11.537	2.203	10.595	1	0	1	0	1
24118	2.361	1.187	2.788	1	1	0	0	1
24119	2.567	4.594	6.11	1	0	0	0	1
24120	4.433	5.936	7.372	1	0	1	0	1
24121	3.492	2.599	6.423	1	0	1	0	1
24122	3.107	2.582	5.498	1	0	0	0	1
24123	1.866	4.8	10.419	1	0	1	0	1
24124	1.741	7.293	10.579	1	0	1	0	1
24125	5.09	5.305	7.043	1	0	1	0	1
24126	2.767	3.709	10.303	1	0	1	0	1
24127	6.233	4.381	10.628	1	0	1	0	1
24128	4.484	6.218	11.473	1	0	1	0	1
24129	4.629	8.151	12.764	1	0	1	0	1
24130	6.514	5.867	10.348	1	0	1	0	1
24131	2.841	5.839	10.289	1	0	1	0	1
24132	8.226	0.431	5.599	1	1	0	0	6
24133	6.283	1.078	4.308	1	1	0	0	6
24134	6.373	4.987	11.758	1	0	1	0	1
24135	2.759	10.975	16.844	1	0	1	0	1
24136	6.369	3.235	11.025	1	0	1	0	1
24137	5.894	6.454	13.071	1	0	1	0	1
24138	6.54	4.644	10.784	1	0	1	0	1
24139	2.582	1.64	8.702	1	1	1	1	1
24140	1.985	4.453	9.855	1	0	1	0	1
24141	2.933	3.385	8.623	1	0	1	0	1
24142	7.567	5.623	13.075	1	0	1	0	1
24143	2.55	4.877	10.102	1	0	1	0	1
24144	2.246	4.303	7.686	1	0	1	0	1
24145	1.977	5.364	10.678	1	0	1	0	1
24146	2.119	2.493	9.908	1	0	1	0	1
24147	5.747	3.649	10.299	1	0	1	0	1
24148	6.804	3.369	8.775	1	0	1	0	1
24149	4.251	3.578	10.799	1	0	1	0	1
24150	7.035	5.465	11.881	1	0	1	0	1
24151	3.047	5.633	12.229	1	0	1	0	1
24152	3.215	6.345	12.589	1	0	1	0	1
24153	3.24	3.838	11.223	1	0	1	0	1
24154	3.734	4.884	8.971	1	0	1	0	1
24155	4.418	5.035	10.008	1	0	1	0	1
24156	2.059	8.629	9.364	1	0	1	0	1
24157	10.233	4.912	10.987	1	0	1	0	1
24158	5.629	3.421	8.83	1	0	1	0	1
24159	6.223	2.461	10.613	1	0	1	0	1
24160	4.295	2.367	7.664	1	0	1	0	1
24161	7.976	3.613	11.384	1	0	1	0	1
24162	3.863	5.819	10.992	1	0	1	0	1
24163	1.81	2.758	10.296	1	0	1	0	1
24164	5.458	5.19	11.871	1	0	1	0	1
24165	2.245	4.636	10.437	1	0	1	0	1
24166	4.889	4.488	10.087	1	0	1	0	1
24167	6.187	5.542	11.996	1	0	1	0	1
24168	7.44	4.315	11.065	1	0	1	0	1
24169	1.661	1.286	12.998	1	1	1	1	1
24170	8.019	4.044	10.008	1	0	1	0	1
24171	5.116	3.094	9.801	1	0	1	0	1
24172	3.177	3.773	10.245	1	0	1	0	1
24173	1.696	2.669	11.02	1	0	1	0	1
24174	4.206	5.275	8.706	1	0	1	0	1
24175	3.883	6.072	12.191	1	0	1	0	1
24176	2.867	6.6	13.551	1	0	1	0	1
24177	2.859	1.599	1.78	1	1	0	0	1
24178	2.05	8.487	5.94	1	0	0	0	1
24179	1.926	5.051	8.302	1	0	1	0	1
24180	7.309	5.516	12.483	1	0	1	0	1
