expr_val	ids_jan	ids_gte	ids_tcgan
1.46	24652,25124,25189,25526,25949,26792,27001,28074,28146,28375,28812,29498,29777,30187,30261,30397,30814,31434,32266,32637,33008,33015,33111,33214,33594,35052,35427,35569,36735,38103		
1.47	24043,24276,24282,25323,25566,26649,28915,29285,29401,29653,30393,30880,31585,31992,33686,33972,34567,35567,35921,35944,36622,37819,38414,38420		
1.48	23978,24064,24843,25170,25821,26358,26805,28529,29457,29858,30532,30570,31106,32625,33513,33969,34118,34644,34657,34891,35769,35866,36167,36250,36840,36887,37026,38565,38588		
1.49	24113,24220,24953,25279,25693,25890,26973,27177,27332,28812,28917,29958,30118,31055,32853,33152,33602,33916,34349,35707,36871,37273,37839,38433		
1.5	24059,24773,24815,25033,25717,25984,26458,27919,28692,29121,29298,29299,29591,29797,30475,31210,32630,34473,35910,36247,36447,36830,37025,38392,38603		
1.51	24962,25148,25620,26675,28739,29058,29110,30080,30735,31129,31686,31800,31858,32077,32430,32652,32738,33018,33122,33196,33452,33695,34652,34860,35522,35557,36012,36188,36450,36672,37105,37473,37735,38641		
1.52	23686,23880,26366,27744,27932,28812,28821,29213,29977,30758,30802,30954,32255,32256,32358,33386,33618,34792,35109,35788,37181,38439		
1.53	24886,25260,25562,26496,28084,29618,29971,30429,32077,32776,33044,33123,33507,33598,33692,33707,33910,36245,36460,37195,37482,38383		
1.54	24015,24919,25395,25480,25918,26355,26964,27133,27811,28019,29507,30905,32331,32433,32608,33006,36163,36833,37316		
1.55	25068,25073,26112,28237,28603,28957,28977,29019,30129,30363,30871,31119,31320,33571,34377,35389,35934,36909,38216,38554		
1.56	23788,23984,24017,24066,24983,25209,26478,26493,26690,26800,28086,28500,29090,29299,29646,30461,30865,32336,32367,33134,33241,33842,34409,34691,35571,35571,36084,36498,36679,36753,37647,38142,38235,38388,38478,38515,38555		
1.57	24317,24788,25037,25674,25679,26006,26217,26353,26518,26734,26769,28212,28295,28346,28912,29200,29403,29522,29864,29936,30476,30959,31639,32173,32333,33177,33368,34835,34894,35120,35174,36003,36287,36361,36718,37272,37425,38118,38676		
1.58	23851,25327,25752,25753,25837,26180,28630,28831,29023,29223,29273,29660,29968,30034,30397,31316,33078,34225,35242,36395,36542,36573,37667,37726,37743,38455,38621		
1.59	23773,24177,24437,25075,25624,26087,26505,27449,27898,28036,28732,28898,29354,30226,31509,32044,32624,33255,33505,34197,34285,34991,35568,36067,36336,36352		
1.6	24036,24093,24221,24905,25130,25143,25225,25317,25750,26755,26865,27911,28671,28682,29097,29173,29278,29285,30470,30744,30976,31002,31251,31571,33009,33455,33596,33890,33978,35071,36872,37713,38031,38286		
1.61	23776,24098,24108,25255,25346,25488,27238,27427,27569,27672,28146,28438,28448,28487,28642,28679,28787,29264,30105,30138,30467,31213,32571,33318,33592,34121,34732,35159,35393,35397,36121,36165,36537,38351		
1.62	23801,26699,28520,28919,29236,29985,30255,30549,31754,32308,32647,33909,33980,34629,35835,36126,36868,37872,38422		
1.6300000000000001	23636,23927,23974,24139,24564,24575,25843,26543,27285,27363,28890,28909,29408,29442,29508,29792,30651,30681,31623,31974,32104,33069,33777,34255,35104,35657,35721,36564		
1.6400000000000001	24086,24230,24286,24415,24537,24620,24765,25186,25414,25798,26321,27838,28057,28646,31322,31342,31633,31967,32128,32445,33604,33781,34222,35118,35147,35904,36135,36157,36398,36517,36913,37267,37838,37942,38233,38538,38572,38599		
1.6500000000000001	24396,24602,25140,25727,26897,27745,28066,28318,28823,28971,29154,29826,29969,30279,30291,30457,30492,30615,32357,33294,33917,34177,34373,34421,35294,35342,35696,36199,36254,36680,36835,37119,37236,37255		
1.6600000000000001	24169,25231,25279,25365,26044,26266,26784,27182,28072,28083,28294,28907,28913,29428,29504,30596,30938,32063,32287,32589,32616,32640,33748,34164,34324,34355,34503,35441,35669,36246,37130,38346,38485,38656		
1.67	24255,24823,24934,25184,26013,26416,28013,28101,28597,29082,31331,31429,32760,33079,33146,34582,35062,35300,35754,36182,36379,36383,36539,37372,38368,38540,38555,38593		
1.68	23859,24190,24471,24793,25817,26020,26733,26765,27415,27938,28053,29558,29566,29662,29930,29946,30190,30254,30417,30633,31665,31672,31727,32416,32762,33056,33119,33272,33601,34557,35301,36691,37020,37082,37193,38113,38381,38485,38613,38619		
1.69	24173,26341,26643,26754,28065,28620,28720,29006,29643,30591,31955,32043,32083,32610,32642,33091,33510,33784,34198,35059,37071,37186,38203,38258,38269,38605		
1.7	24400,24549,24966,25123,25429,25658,25700,25850,26238,26244,26719,27311,28032,28103,28484,29119,29606,30369,30786,32181,32305,32372,33046,34234,34589,35946,37258,38268,38513		
1.71	23941,25016,25089,25456,25832,26089,26544,27139,27974,28616,30145,30452,30672,30716,31090,32071,32270,32339,33027,34178,34638,35060,35254,35512,36144,36878,37102,37662,37856,38519,38545		
1.72	24084,25355,25358,25986,26392,26774,27264,27860,28199,28462,28592,28946,28980,29248,29782,30285,31435,32151,32342,32646,33091,33135,33691,34416,34903,35056,35719,35824,35914,36863,36867,37479,37885,38143,38149,38328,38552,38564,38582		
1.73	24412,26019,27141,27711,27751,27989,28520,28713,28921,29405,29650,29935,30263,30690,33532,33862,34289,34524,34576,34761,35076,35194,35972,36397,36566,36964,37655,37863,38236,38384,38442,38484,38491,38514,38520,38575		
