interval	nofgenes_jan	nofgenes_gte	nofgenes_tcgan
1.99	1449	2260	465
2.00	1464	2277	467
2.01	1479	2285	468
2.02	1508	2305	471
2.03	1521	2319	475
2.04	1539	2333	475
2.05	1562	2345	475
2.06	1592	2351	476
2.07	1611	2369	477
2.08	1629	2381	478
2.09	1659	2387	479
2.10	1684	2395	482
2.11	1707	2411	483
2.12	1725	2429	489
2.13	1747	2447	489
2.14	1769	2460	494
2.15	1790	2474	496
2.16	1807	2482	498
2.17	1821	2499	499
2.18	1843	2514	500
2.19	1872	2526	505
2.20	1884	2541	510
2.21	1899	2559	512
2.22	1917	2573	514
2.23	1935	2591	517
2.24	1957	2608	520
2.25	1984	2623	521
2.26	2004	2629	523
2.27	2023	2639	527
2.28	2040	2655	530
2.29	2060	2676	533
2.30	2076	2687	536
2.31	2102	2700	538
2.32	2124	2720	541
2.33	2146	2740	542
2.34	2164	2758	543
2.35	2183	2773	543
2.36	2193	2789	543
2.37	2211	2805	544
2.38	2226	2821	545
2.39	2243	2840	546
2.40	2267	2860	547
2.41	2294	2880	549
2.42	2316	2902	551
2.43	2336	2917	551
2.44	2353	2931	552
2.45	2367	2944	554
2.46	2385	2962	555
2.47	2406	2978	557
2.48	2420	2993	558
2.49	2445	3006	560
2.50	2472	3033	563
2.51	2493	3050	567
2.52	2514	3069	568
2.53	2539	3085	571
2.54	2556	3108	572
2.55	2573	3133	573
2.56	2598	3149	574
2.57	2625	3172	578
2.58	2646	3192	583
2.59	2660	3214	585
2.60	2677	3235	588
2.61	2695	3259	589
2.62	2709	3276	589
2.63	2731	3298	590
2.64	2752	3318	593
2.65	2763	3336	595
2.66	2784	3355	596
2.67	2803	3377	598
2.68	2822	3400	598
2.69	2847	3423	601
2.70	2870	3444	602
2.71	2890	3467	604
2.72	2910	3493	608
2.73	2931	3507	610
2.74	2953	3524	613
2.75	2968	3547	615
2.76	2998	3557	618
2.77	3019	3579	620
2.78	3041	3597	621
2.79	3061	3622	625
2.80	3081	3639	629
2.81	3097	3660	631
2.82	3114	3685	632
2.83	3146	3708	633
2.84	3168	3736	637
2.85	3188	3762	639
2.86	3205	3784	639
2.87	3232	3804	643
2.88	3256	3827	645
2.89	3275	3851	645
2.90	3292	3865	647
2.91	3312	3894	650
2.92	3327	3921	652
2.93	3350	3937	655
2.94	3376	3969	657
2.95	3400	3992	658
